,g__Porphyromonas,g__Akkermansia,g__Coprococcus,g__Treponema,g__Streptococcus,g__Pseudoalteromonas,g__Fusobacterium,g__Staphylococcus,g__Actinomyces,g__Catonella,g__Neisseria,g__Leptotrichia,g__Bacillus,g__Lactococcus,g__Mobiluncus,g__Aerococcus,g__Dialister,g__Corynebacterium,g__Acinetobacter,g__Pseudomonas,g__Lactobacillus,g__Enterococcus,g__Kingella,g__Mannheimia,g__Bifidobacterium,g__Moraxella,g__Peptococcus,g__Mycobacterium,g__Sneathia,g__Haemophilus,g__Capnocytophaga,g__Conchiformibius,g__Prevotella,g__Anaerostipes,g__Acidaminococcus,g__Aggregatibacter,g__Rothia,g__Veillonella,g__Bacteroides,g__Lautropia,g__Kocuria,g__Shuttleworthia,g__Granulicatella,g__Tannerella,g__Megasphaera,g__Schwartzia,g__Geobacillus,g__Dorea,g__Campylobacter,g__Oribacterium,g__Ruminococcus,g__Acholeplasma,g__Actinobacillus,g__Atopobium,g__Parvimonas,g__Vagococcus,g__Pasteurella,g__Thauera,g__Erwinia,g__Scardovia,g__Gallibacterium,g__Anaerococcus,g__Butyrivibrio,g__Thermus,g__Alloscardovia,g__Peptostreptococcus,g__Bulleidia,g__Paludibacter,g__Desulfobulbus,g__Sharpea,g__Clostridium,g__Mogibacterium,g__Chelonobacter,g__Slackia,g__Selenomonas,g__Tetragenococcus,g__Gemella,g__Mycoplasma,g__Peptoniphilus,g__Serratia,g__Arcanobacterium,g__Lonepinella,g__Blautia,g__Micrococcus,g__Streptobacillus,g__Halomonas,g__Filifactor,g__Necropsobacter,g__Cardiobacterium,g__Eikenella,g__Arthrobacter,g__Cloacibacterium,g__Anaerovorax,g__Chryseobacterium,g__Listeria,g__Pedobacter,g__Bergeriella,g__Enterobacter
11808.4756.SALB.W2V1,600,0,0,167,3052,0,810,0,587,18,124,371,3,0,2,0,36,44,1,10,18,5,52,1,13,0,14,0,0,10145,85,1,5017,0,0,253,943,2739,1,14,0,5,195,19,61,25,0,0,112,195,0,0,28,46,24,9,0,0,0,13,0,0,4,0,0,0,5,6,0,2,0,15,0,0,215,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1
11808.4778.SALB.W2V1,1497,3,0,0,4426,0,208,0,225,19,104,123,4,0,0,0,2,13,0,0,5,2,18,0,0,0,1,0,0,4434,21,1,11102,0,0,73,557,1853,2,18,0,0,414,0,48,0,0,0,59,29,1,0,45,13,16,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,6,0,2,0
11808.4802.SALB.W2V1,536,0,0,10,1383,0,956,0,376,6,61,261,1,0,2,0,4,10,0,0,3,1,6,0,0,0,1,0,0,8751,23,0,7359,1,0,186,320,2885,1,4,0,0,96,2,53,3,0,0,54,51,1,0,82,12,14,0,0,0,0,1,0,0,0,0,0,1,19,0,0,0,0,7,1,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,2,0
11808.4813.SALB.W2V1,518,0,0,10,1311,0,391,0,121,11,141,141,0,0,0,0,2,13,0,0,25,2,6,0,0,0,1,0,0,11353,24,0,8951,0,0,184,212,1700,1,19,0,0,80,3,14,0,0,0,24,29,0,0,22,7,15,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11808.4824.SALB.W2V1,187,7,0,3,3238,0,1019,45,701,23,21,831,6,0,0,5,5,4,0,0,3,5,2,0,0,0,0,0,0,7170,67,0,10958,1,0,500,384,8030,0,91,0,0,311,3,968,0,8,1,322,82,0,0,9,108,51,2,0,1,0,1,1,0,4,0,0,0,143,5,0,0,0,13,0,0,310,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11808.4835.SALB.W2V1,624,1,0,59,1838,0,822,16,305,24,314,237,1,0,0,0,8,13,0,0,5,4,13,0,0,0,0,0,0,11936,20,0,6260,0,0,112,1160,2081,0,21,0,1,242,9,44,12,0,0,234,216,0,0,13,25,33,0,1,0,0,0,1,0,8,0,0,0,23,10,0,0,0,13,1,0,49,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,2,0
11808.4903.SALB.W2V1,343,0,0,0,1904,0,276,0,60,12,53,95,3,0,0,0,2,26,0,0,0,1,3,0,0,0,1,0,0,2080,9,0,10185,0,0,44,25,4623,3,38,0,0,155,1,132,1,0,0,131,82,0,0,1,27,30,0,0,0,0,0,0,0,19,0,0,0,15,0,0,0,0,11,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
11808.4925.SALB.W2V1,373,0,0,280,5176,0,1084,1,894,13,499,579,8,0,0,0,40,209,1,0,1,10,393,0,1,0,0,0,0,4774,668,6,1540,0,0,396,1544,3358,0,261,0,6,620,33,55,2,11,0,255,124,0,0,17,53,36,2,0,0,0,10,0,0,1,3,0,1,10,11,0,6,0,16,0,0,115,8,0,20,0,0,0,0,0,0,0,0,0,33,36,0,0,0,0,4,2,0,0,11
11808.4969.SALB.W2V1,1010,0,0,127,1256,0,605,1,487,42,299,513,2,1,0,0,4,55,0,0,1,2,27,0,0,0,1,0,0,6013,149,0,4284,0,0,342,458,1806,0,58,0,0,183,27,59,3,0,0,604,123,0,0,359,6,4,2,0,0,0,0,1,0,9,6,0,0,7,5,0,0,0,5,0,0,223,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,0,0,0,0,3,0,1,0
11808.4970.SALB.W2V1,111,1,0,27,594,0,413,0,284,21,21,127,1,1,1,0,15,1,0,0,3,0,12,0,8,0,0,0,0,1813,31,0,11433,0,0,84,88,6894,0,9,0,0,68,6,781,4,0,0,192,106,0,0,18,41,17,0,0,0,0,2,0,0,4,0,0,0,35,0,0,0,0,19,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11808.4992.SALB.W2V1,1211,5,0,9,1576,0,124,0,253,9,504,236,1,0,0,0,4,49,0,0,16,2,20,0,0,0,0,0,0,5635,29,2,4644,0,0,898,226,2314,0,41,0,0,56,0,92,1,0,0,188,55,0,0,19,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,4,0,40,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
11808.5005.SALB.W2V1,16,1,0,26,17585,0,87,0,792,1,104,49,3,0,0,0,7,12,0,0,97,6,200,0,57,0,2,0,0,2174,34,0,3910,0,0,7,2726,9679,0,0,0,0,426,0,278,0,0,0,106,64,0,0,3,37,2,2,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,1,0
11808.5016.SALB.W2V1,188,1,0,8,2020,1,100,0,194,5,369,73,1,0,0,0,6,28,0,0,0,4,13,0,1,0,0,0,0,13830,20,1,1952,0,0,368,657,1894,0,18,0,2,70,1,4,0,0,0,10,25,0,0,15,4,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0
11808.5027.SALB.W2V1,1933,0,0,265,4253,0,3955,1,1306,101,216,2144,7,0,9,0,8,164,0,1,13,4,18,0,0,71,48,0,0,8972,507,0,1827,0,0,3052,1372,2081,2,53,0,0,285,100,4,2,14,0,299,324,0,0,196,23,130,2,0,0,0,0,0,0,20,0,0,0,19,24,0,0,0,28,1,2,93,12,6,16,0,0,0,1,0,0,0,0,37,18,11,0,0,0,32,0,4,0,2,0
11808.5038.SALB.W2V1,210,0,1,100,2513,0,180,0,49,4,115,129,0,0,0,0,2,19,0,0,1,1,41,0,1,0,4,0,0,5477,74,1,536,0,0,679,88,72,1,8,0,0,12,11,5,1,0,0,45,8,1,0,1546,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,36,0,1,1,0,0,0,20,0,0,0,0,10,2,4,0,0,0,0,0,0,0,2,0
11808.5061.SALB.W2V1,463,0,0,115,8165,0,364,1,483,9,122,516,1,0,0,0,5,64,0,0,14,4,13,0,0,0,1,0,0,9278,247,1,979,0,0,749,812,873,1,87,0,0,236,13,18,3,0,0,111,99,0,0,633,10,2,1,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,2,1,0,47,0,0,5,0,0,0,1,0,0,0,0,4,1,8,0,0,0,0,0,2,0,1,0
11808.5117.SALB.W2V1,1081,0,0,270,6726,0,1549,2,2213,13,1327,1444,0,0,0,0,5,157,0,0,6,3,27,0,1,0,5,0,0,4777,459,5,1295,0,0,2632,225,2037,0,143,0,0,240,26,93,5,13,0,105,61,0,0,2,46,12,0,0,0,0,2,0,0,0,3,1,0,14,4,0,0,0,3,0,0,35,0,4,15,0,0,0,0,0,0,0,0,12,65,9,0,0,0,0,0,3,0,0,0
11808.5128.SALB.W2V1,580,0,0,36,8878,0,779,3,1690,49,345,729,7,0,0,0,9,123,1,0,2,5,18,0,0,0,2,0,0,7842,139,195,7414,0,0,357,1274,5636,0,282,0,2,264,23,134,5,2,0,359,367,0,0,13,111,23,1,0,0,0,3,0,0,7,0,0,0,22,6,0,0,0,37,0,0,108,0,0,1,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0
11808.5139.SALB.W2V1,906,1,0,44,2277,0,843,0,533,34,86,687,4,0,0,0,10,44,0,0,21,4,211,0,1,0,28,0,0,4974,191,0,6221,1,0,263,335,1914,4,80,0,2,266,15,34,0,10,0,411,146,0,0,24,34,18,3,0,0,0,0,2,0,72,1,0,0,38,1,0,0,0,29,0,0,299,0,1,1,0,0,0,0,1,0,0,0,2,1,17,0,0,0,15,0,3,0,2,1
11808.5151.SALB.W2V1,534,17,2,49,6450,0,369,0,857,17,452,222,3,0,0,0,11,104,0,0,5,0,21,0,0,0,0,0,0,6724,99,0,8608,0,0,1732,679,2605,0,26,0,3,350,7,35,6,0,0,112,71,0,0,339,10,10,1,0,0,0,2,2,0,2,0,0,0,10,0,0,0,1,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
11808.5207.SALB.W2V1,1073,0,0,93,3019,0,1229,6,1402,72,214,552,4,22,2,0,62,53,0,1,14,2,29,0,25,0,13,0,0,5145,41,0,6784,0,0,52,466,2583,0,31,1,4,361,42,95,44,7,0,224,295,0,1,184,61,32,1,0,0,0,6,3,0,9,0,0,0,66,7,0,1,0,24,0,1,265,0,0,6,2,0,0,0,1,0,0,0,1,5,11,0,0,0,22,0,2,0,3,0
11808.5229.SALB.W2V1,658,0,0,5,3617,0,1287,2,1073,30,2723,447,3,0,0,0,12,242,0,0,1,15,104,0,0,0,6,0,0,9231,338,2,2034,0,0,324,1579,1747,1,216,0,1,553,6,26,0,2,0,505,97,0,0,4,17,4,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,9,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,6,0,0,0
11808.5263.SALB.W2V1,480,0,0,60,2537,0,1003,0,946,41,201,555,1,0,1,0,1,99,0,0,0,1,121,0,0,1,13,0,0,4545,361,0,5439,0,0,215,568,1566,0,8,0,0,203,73,57,2,11,0,484,75,0,0,106,26,15,0,0,0,0,0,0,0,5,1,0,0,10,7,0,0,0,21,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,5,0,7,0
11808.5274.SALB.W2V1,1150,0,0,994,1480,0,1241,4,592,77,191,596,2,0,0,0,38,7,0,7,4,1,17,0,0,0,7,0,0,2015,125,0,6755,0,0,347,607,1446,0,0,0,1,47,51,193,31,30,0,446,201,0,0,4,152,115,0,0,0,0,0,0,0,0,21,0,0,65,24,0,4,0,87,0,0,26,20,0,65,0,0,0,0,0,0,0,0,30,24,0,0,0,0,0,0,0,0,0,0
11808.5285.SALB.W2V1,181,0,0,18,1294,0,916,25,644,82,329,632,2,0,0,0,4,31,0,0,2,2,21,0,0,0,2,0,0,4802,41,0,7525,0,0,299,270,1992,26,26,0,3,210,21,241,1,39,0,434,255,0,0,5,69,0,0,1,0,0,1,0,0,7,2,0,0,71,18,0,0,0,88,0,0,167,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0
11808.5296.SALB.W2V1,1623,0,0,1004,5773,0,2511,4,370,33,735,493,1,0,1,0,61,79,0,15,2,215,39,0,0,0,18,3,0,4881,111,0,5022,0,0,712,236,1386,10,5,0,2,78,76,12,18,32,0,295,253,0,5,7,15,32,1,0,0,0,0,1,0,3,10,0,0,12,19,3,0,0,15,0,0,212,4,0,72,0,0,0,0,0,0,0,0,104,0,9,5,0,0,25,0,3,0,4,0
11808.5342.SALB.W2V1,109,0,0,11,1737,0,161,0,365,3,105,174,2,0,1,0,3,4,0,16,0,0,9,0,0,0,0,0,0,4929,22,0,13689,0,0,263,560,2943,50,10,0,0,47,1,128,0,7,0,116,44,0,0,2,23,0,0,0,0,0,0,0,0,2,0,4,0,9,0,0,0,0,6,1,0,83,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,3,0
11808.5353.SALB.W2V1,797,0,0,80,732,0,724,4,278,22,824,449,0,0,0,0,11,47,0,17,0,0,1,0,0,0,5,4,0,1304,138,2,3491,0,0,269,70,813,17,32,0,3,66,36,102,1,31,0,120,36,0,0,45,9,63,0,0,0,0,0,0,0,2,5,0,0,16,0,0,0,0,20,0,0,34,2,0,3,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,1,0
11808.5375.SALB.W2V1,1201,0,0,45,4415,0,472,1,453,22,4418,208,4,0,1,0,8,176,0,0,0,2,3,0,0,0,5,0,0,2376,82,3,912,0,0,209,1924,637,0,22,0,0,282,7,5,5,1,0,63,228,0,0,1,7,23,0,0,0,0,3,0,0,0,0,0,0,7,7,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,3,0,2,0
11808.5386.SALB.W2V1,1846,0,0,33,3446,0,856,0,808,13,1516,567,3,0,0,0,31,94,0,3,14,2,16,0,0,0,1,0,0,7433,248,1,6668,0,0,537,886,2860,0,218,0,1,167,34,126,3,13,0,126,69,0,0,8,43,20,0,1,0,0,0,0,0,0,0,0,0,21,12,0,0,0,20,0,0,86,0,1,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,1,0
11808.5409.SALB.W2V1,518,0,0,66,6432,0,617,0,729,14,43,115,0,0,0,7,37,57,0,1,0,4,43,0,0,0,9,0,0,5471,97,0,483,0,0,61,1408,1152,0,23,0,0,635,27,3,9,8,0,101,145,0,0,11,17,34,1,0,0,0,0,0,0,3,3,0,0,12,23,0,0,0,18,0,0,35,0,1,4,0,0,0,0,0,0,0,2,4,0,57,0,0,0,0,0,4,0,0,0
11808.5421.SALB.W2V1,2607,0,0,0,994,1,2576,28,151,15,110,462,6,0,0,2,4,15,0,0,0,2,16,0,0,0,0,0,0,4067,118,0,3589,0,0,55,156,1472,0,55,0,0,210,49,24,0,65,0,84,237,0,0,126,54,72,1,0,0,0,0,1,1,0,7,0,0,30,4,0,0,0,2,0,0,46,5,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0
11808.5476.SALB.W2V1,3211,0,0,69,1063,0,1483,0,375,18,58,577,1,0,1,0,0,10,0,6,4,0,36,0,2,78,1,0,0,9830,400,1,2486,0,0,1806,297,1678,2,4,0,0,38,6,16,0,2,0,210,92,0,0,17,1,25,0,1,0,0,0,0,0,10,5,0,0,11,7,0,0,0,13,2,0,32,1,0,5,1,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,3,0
11808.5487.SALB.W2V1,149,2,0,299,1877,0,348,14,479,43,105,192,6,0,1,0,34,134,0,1,9,6,7,0,1,0,2,1,0,1956,113,0,13032,0,0,125,593,2963,0,40,0,1,190,17,166,4,9,0,520,159,0,0,3,53,18,0,0,0,0,0,0,0,2,0,0,1,30,13,0,0,0,36,0,0,325,0,0,14,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,3,0,0,0
11808.5500.SALB.W2V1,821,0,0,120,1834,1,569,26,344,7,773,147,3,1,1,0,8,51,7,9,0,2,8,0,1,0,5,0,0,10238,21,1,4557,0,0,271,239,826,13,56,0,2,123,8,21,8,18,0,119,71,0,0,76,24,6,1,0,0,0,4,0,0,0,2,0,0,17,2,0,0,0,9,2,0,29,0,0,1,0,0,0,0,18,0,0,0,1,1,4,0,0,0,0,0,3,0,1,0
11808.5577.SALB.W2V1,1331,0,0,58,3158,0,1656,1,591,48,177,2789,2,0,0,0,5,118,0,0,0,6,72,0,0,0,16,0,0,4918,353,0,3493,0,0,469,1160,788,34,53,0,0,365,15,27,0,18,0,1321,403,0,0,7,51,23,2,0,0,0,0,0,0,26,4,0,0,27,27,0,0,0,24,0,0,818,0,0,10,0,0,0,0,2,0,0,0,0,0,36,2,0,0,31,0,3,0,7,0
11808.5599.SALB.W2V1,154,0,0,48,7252,0,204,7,1923,39,892,247,10,0,0,0,21,102,0,0,0,13,39,0,0,0,3,0,0,3495,34,1,6935,0,0,374,4125,6391,31,33,0,0,629,4,217,0,8,0,432,169,0,0,5,72,2,3,0,0,0,0,0,0,6,1,0,0,25,2,0,0,0,25,0,2,95,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,10,0,0,1
11808.5612.SALB.W2V1,641,0,0,70,3231,0,571,26,166,18,66,941,3,0,0,0,7,17,0,2,7,7,9,0,0,0,4,0,0,6082,38,0,2251,0,0,491,250,1254,33,79,0,1,260,13,68,0,63,0,853,213,0,0,42,42,3,1,0,0,0,1,0,0,4,5,0,0,18,7,0,0,0,25,0,1,145,27,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
11808.5623.SALB.W2V1,1255,2,0,303,2091,0,1457,1,426,14,1145,581,3,0,0,0,27,38,0,0,0,0,41,0,0,0,31,0,2,5993,154,0,2834,0,0,468,641,1017,7,94,0,0,123,34,7,5,12,0,61,106,0,0,639,5,33,0,0,0,0,0,0,0,17,0,0,0,5,25,0,1,0,1,0,0,174,0,1,0,0,0,0,2,0,0,0,0,15,6,3,1,0,0,0,0,2,0,7,0
11808.5634.SALB.W2V1,282,10,0,149,9645,0,814,0,1593,10,8,134,20,0,0,0,99,13,0,0,24,15,13,0,14,0,9,0,0,3567,14,0,4381,0,0,76,2484,8446,1,4,0,4,836,22,276,25,0,0,169,128,0,0,5,92,4,5,0,0,0,7,0,0,0,0,0,0,3,46,0,0,0,23,0,2,27,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,108,0,0,0
11808.5656.SALB.W2V1,1994,0,0,50,3946,1,1113,0,551,23,286,751,1,0,0,0,13,81,0,0,0,2,15,0,0,1,10,0,0,9750,144,0,2594,0,0,614,563,2728,6,9,0,4,167,24,122,2,0,0,114,63,0,0,99,11,42,2,0,0,0,0,0,0,18,0,0,0,18,3,0,0,0,13,0,0,168,0,0,3,0,0,0,1,0,0,0,0,1,26,20,0,0,0,6,0,0,0,2,0
11808.5667.SALB.W2V1,921,1,0,35,967,0,1498,1,142,10,182,607,0,0,3,0,0,3,0,0,15,2,11,0,0,0,3,0,0,1806,235,2,1651,0,0,199,113,179,0,15,0,0,73,6,0,0,19,0,119,29,0,0,5,4,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,10,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11808.5689.SALB.W2V1,42,2,0,31,7043,0,108,1,478,6,240,81,1,0,0,0,5,5,0,0,0,1,8,0,0,0,2,0,0,7020,12,0,932,0,0,182,465,3262,0,28,0,0,109,4,16,7,9,0,95,84,0,3,52,5,4,2,0,0,0,0,0,0,0,0,0,1,11,0,0,7,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0
11808.5690.SALB.W2V1,771,0,0,186,3542,0,1024,0,516,17,65,322,1,0,0,0,7,14,0,0,0,0,17,0,0,0,12,0,0,5757,76,0,2726,0,0,477,164,1334,2,22,0,1,83,37,66,0,0,0,104,61,0,5,17,7,26,0,0,0,0,0,0,0,5,0,0,0,9,17,0,1,0,11,0,0,25,0,0,6,0,0,0,0,0,0,0,0,30,1,0,1,0,0,6,0,1,0,0,0
11808.5702.SALB.W2V1,244,0,0,20,494,0,244,7,39,2,17,46,0,0,0,0,4,5,0,0,0,1,0,1,0,0,2,0,0,4391,5,0,1163,0,0,545,181,219,0,2,0,0,27,4,2,0,0,0,7,3,0,1,4,0,15,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
11808.5724.SALB.W2V1,2051,1,0,34,3108,1,395,0,549,29,3756,326,4,1,0,0,21,245,0,0,4,1,136,0,4,0,10,0,0,5377,218,3,1441,0,0,1199,713,2849,6,508,0,1,180,18,21,3,0,0,176,112,0,0,1,6,20,0,1,0,0,3,0,0,0,0,0,0,6,0,0,1,0,8,0,2,52,0,1,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,6,0,26,0
11808.5735.SALB.W2V1,2093,0,0,84,2466,0,1253,1,619,28,250,1464,0,0,0,0,0,54,0,0,4,1,3,0,0,0,18,0,0,4831,363,0,1673,0,0,739,588,1008,0,64,0,0,215,29,47,0,11,0,294,184,0,0,247,29,22,0,0,0,0,2,0,0,3,2,0,0,62,0,0,0,0,37,0,0,45,12,0,7,0,0,0,0,0,0,0,0,4,1,8,0,0,0,0,0,0,0,0,0
11808.5791.SALB.W2V1,486,0,0,54,2248,0,516,0,649,19,638,1018,0,0,0,0,12,182,0,0,0,3,17,0,0,0,1,0,0,5163,61,2,5762,0,0,191,661,2693,0,358,0,4,118,11,39,4,5,0,391,202,0,0,11,23,2,1,0,0,0,4,0,0,3,1,0,0,19,8,0,0,0,46,0,0,242,7,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0
11808.5814.SALB.W2V1,290,0,0,428,867,0,460,2,147,7,3513,163,4,0,0,0,43,97,0,0,5,1,6,0,2,0,5,0,0,15987,52,6,1477,0,0,2053,297,312,0,933,0,2,43,25,13,14,7,0,129,24,0,0,15,8,19,1,0,1,0,0,0,0,0,9,0,0,10,24,0,0,0,15,1,4,172,0,0,5,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,2,0
11808.5825.SALB.W2V1,1416,0,0,1548,5665,0,1685,5,832,47,649,753,0,0,0,0,92,144,0,0,2,2,57,0,3,0,12,0,0,11969,86,1,3274,0,0,980,536,2100,1,154,0,10,333,42,74,44,0,0,444,398,2,0,171,59,65,0,0,0,0,0,2,0,2,0,0,1,38,15,3,33,0,47,1,1,309,0,0,51,4,0,0,0,0,0,0,0,44,6,17,0,0,0,0,0,0,0,0,0
11808.5847.SALB.W2V1,246,0,0,12,1553,0,128,0,520,2,13,20,0,0,0,0,13,77,0,0,2,2,5,0,0,0,1,0,0,3853,27,0,9701,0,0,46,491,3010,0,0,0,0,135,4,55,15,0,0,130,39,0,0,2,24,5,0,0,0,0,1,0,0,3,1,0,0,6,0,1,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11808.5870.SALB.W2V1,779,5,0,19,1149,0,1035,0,494,21,477,1011,0,0,0,0,4,19,0,0,3,3,16,0,0,0,4,0,0,2416,78,0,15035,0,0,127,113,2139,0,21,0,0,178,0,75,0,0,0,84,52,1,2,3,12,3,2,0,0,0,0,0,1,1,0,0,0,19,0,0,0,0,5,0,0,34,0,0,5,0,0,0,0,0,0,0,0,1,2,4,0,0,0,10,0,0,0,0,0
11808.5904.SALB.W2V1,2805,0,0,24,795,1,3225,0,108,21,407,705,3,0,0,0,3,9,0,0,0,1,40,0,0,53,5,0,0,3815,111,2,7389,0,0,961,102,1298,0,20,0,0,58,15,4,0,0,0,36,29,0,0,5,3,85,0,0,0,0,0,0,0,1,9,0,0,14,0,0,0,0,10,2,0,27,0,0,4,0,0,0,0,0,0,0,0,31,8,3,0,0,0,3,0,2,0,0,0
11808.5915.SALB.W2V1,4148,1,0,30,671,0,1773,4,376,17,395,186,4,1,0,0,18,27,0,0,10,1,13,0,0,0,10,0,0,8322,101,0,11032,0,0,681,123,1957,1,36,0,0,77,9,18,0,28,0,149,91,0,0,198,8,47,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,15,1,0,54,10,0,4,0,0,0,0,0,0,0,0,5,1,8,0,0,0,6,0,1,0,3,0
11808.5937.SALB.W2V1,39,7,0,9,1394,0,287,0,326,14,482,733,4,0,0,0,8,52,0,0,5,0,16,0,0,2,0,0,0,7009,45,0,8091,3,0,179,694,6669,0,128,0,0,90,5,124,3,0,0,184,132,0,0,59,10,5,8,0,0,0,0,0,0,3,0,0,0,8,1,0,0,0,8,1,0,276,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,1
11808.5948.SALB.W2V1,56,0,0,82,13743,1,236,2,286,17,226,276,5,0,0,0,17,66,3,0,9,1,17,0,0,0,0,0,0,2693,47,0,3905,0,0,243,690,2381,0,207,0,2,315,10,68,21,0,0,126,55,0,0,301,30,7,8,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,167,0,0,5,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,4,0,0,0
11808.5959.SALB.W2V1,3264,0,0,274,4577,0,4261,0,946,121,907,2063,7,0,7,0,107,205,0,0,4,7,95,0,0,0,16,0,0,6905,260,2,7412,0,0,1679,244,3044,0,286,0,19,501,52,177,44,0,0,406,388,0,0,11,57,127,2,0,0,0,15,1,1,15,0,0,1,79,33,0,0,0,47,0,1,297,0,0,18,0,0,0,0,1,0,0,0,18,0,20,0,0,0,14,0,4,0,3,0
11808.5960.SALB.W2V1,3106,3,0,57,118,1,3046,4,303,54,422,390,4,0,0,0,14,6,0,7,31,8,29,1,1,0,1,0,0,8541,237,0,2784,0,0,174,191,682,0,120,0,0,288,32,16,2,43,0,377,59,0,0,12,4,45,2,0,0,0,0,0,0,1,3,0,0,12,3,0,0,0,5,0,0,187,2,0,1,0,0,0,0,0,0,0,0,0,44,49,0,0,0,19,0,5,0,6,0
11808.5971.SALB.W2V1,128,2,0,91,2376,0,148,0,593,8,9,295,0,1,1,0,9,10,0,0,6,0,8,0,2,0,0,0,0,459,15,0,10089,1,0,175,75,4746,1,2,0,0,67,3,348,1,0,0,124,88,0,0,2,55,2,0,0,0,0,0,0,0,2,0,1,0,18,3,0,0,0,18,0,0,107,0,0,9,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3
11808.5993.SALB.W2V1,3593,0,0,5,1869,0,837,2,200,13,1184,76,2,0,0,0,5,44,0,0,10,2,11,0,0,0,1,0,0,11540,68,2,4744,0,0,618,380,1216,0,107,0,0,190,3,0,0,25,0,53,80,0,0,67,9,1,4,1,0,1,0,1,13,0,2,0,1,28,3,0,0,0,5,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,25,3,0,10,0,0,0,3,0,4,0
