,g__Porphyromonas,g__Akkermansia,g__Coprococcus,g__Treponema,g__Streptococcus,g__Pseudoalteromonas,g__Fusobacterium,g__Staphylococcus,g__Actinomyces,g__Catonella,g__Neisseria,g__Leptotrichia,g__Bacillus,g__Lactococcus,g__Mobiluncus,g__Aerococcus,g__Dialister,g__Corynebacterium,g__Acinetobacter,g__Pseudomonas,g__Lactobacillus,g__Enterococcus,g__Kingella,g__Mannheimia,g__Bifidobacterium,g__Moraxella,g__Peptococcus,g__Mycobacterium,g__Sneathia,g__Haemophilus,g__Capnocytophaga,g__Conchiformibius,g__Prevotella,g__Anaerostipes,g__Acidaminococcus,g__Aggregatibacter,g__Rothia,g__Veillonella,g__Bacteroides,g__Lautropia,g__Kocuria,g__Shuttleworthia,g__Granulicatella,g__Tannerella,g__Megasphaera,g__Schwartzia,g__Geobacillus,g__Dorea,g__Campylobacter,g__Oribacterium,g__Ruminococcus,g__Acholeplasma,g__Actinobacillus,g__Atopobium,g__Parvimonas,g__Vagococcus,g__Pasteurella,g__Thauera,g__Erwinia,g__Scardovia,g__Gallibacterium,g__Anaerococcus,g__Butyrivibrio,g__Thermus,g__Alloscardovia,g__Peptostreptococcus,g__Bulleidia,g__Paludibacter,g__Desulfobulbus,g__Sharpea,g__Clostridium,g__Mogibacterium,g__Chelonobacter,g__Slackia,g__Selenomonas,g__Tetragenococcus,g__Gemella,g__Mycoplasma,g__Peptoniphilus,g__Serratia,g__Arcanobacterium,g__Lonepinella,g__Blautia,g__Micrococcus,g__Streptobacillus,g__Halomonas,g__Filifactor,g__Necropsobacter,g__Cardiobacterium,g__Eikenella,g__Arthrobacter,g__Cloacibacterium,g__Anaerovorax,g__Chryseobacterium,g__Listeria,g__Pedobacter,g__Bergeriella,g__Enterobacter
11808.5948.SALB.W2V11,216,0,0,156,21482,1,350,1,1521,21,2466,445,9,5,2,2,112,301,3,1,54,40,232,7,10,0,0,0,0,2782,485,0,9246,0,0,340,3884,4595,23,2262,5,3,327,45,174,0,0,0,278,140,0,0,26,122,55,5,14,0,0,17,2,3,0,0,0,31,22,0,0,0,3,47,0,2,477,1,460,42,5,1,1,0,1,1,0,0,22,12,110,35,1,0,0,7,0,0,1,2
11808.5959.SALB.W2V11,1146,0,14,960,19314,0,16579,11,6663,255,15917,2735,11,5,3,8,692,1947,4,2,32,26,639,20,32,1,3,1,1,13373,3642,1,46830,6,1,2498,2418,11827,194,3081,7,125,1096,235,780,0,0,7,1067,2243,1,3,81,346,394,13,78,0,0,142,8,31,3,0,0,156,69,0,1,0,22,653,0,32,1292,0,3040,100,62,3,2,3,11,1,15,1,214,10,335,342,1,1,0,17,0,7,5,3
11808.5960.SALB.W2V11,293,0,0,22,1251,1,1549,1,156,11,6294,50,2,1,0,0,9,19,1,1,1,2,35,6,9,4,0,0,0,2648,509,0,3318,2,0,109,249,547,25,233,1,2,45,14,2,0,0,0,474,66,0,0,19,12,16,1,20,0,0,0,1,3,0,0,0,2,3,0,0,0,2,15,0,2,86,0,213,12,3,0,0,0,0,1,0,1,3,11,56,30,0,0,0,1,0,0,1,0
11808.5971.SALB.W2V11,823,0,3,180,11284,0,803,4,2603,37,276,781,10,4,0,2,88,211,5,0,10,10,31,2,47,2,1,0,0,1210,279,0,31525,2,1,300,775,12230,117,7,2,2,215,323,1293,0,0,1,401,409,1,1,10,206,51,8,11,0,0,6,1,14,0,0,10,37,1,0,5,1,14,714,0,18,449,0,488,18,21,0,0,0,3,1,6,0,179,2,12,19,0,0,0,0,0,2,0,0
11808.5993.SALB.W2V11,880,0,2,54,21435,2,12682,17,1265,34,92851,384,11,4,0,6,146,653,2,0,29,23,518,62,17,5,0,0,2,61887,2249,3,45250,5,2,1664,7049,11899,360,3375,9,9,1110,79,24,0,0,0,441,1359,0,2,279,71,22,13,205,0,2,4,44,32,0,0,0,111,8,1,0,0,23,206,1,6,103,1,3500,49,37,12,0,6,6,1,9,1,12,350,141,381,2,0,0,13,0,1,24,12
11808.6040.SALB.W2V11,1362,0,1,734,4854,0,3118,1,2233,17,14240,123,9,1,0,1,152,180,4,13,8,11,54,8,67,0,1,1,0,5436,370,1,4633,1,0,256,4090,2769,37,210,5,9,178,1366,41,0,0,1,797,239,0,0,37,42,55,2,28,0,0,10,5,7,0,0,0,66,8,0,53,0,5,116,0,8,81,0,1103,46,9,1,0,0,0,1,5,0,152,12,15,52,2,0,0,4,0,2,4,1
11808.6062.SALB.W2V11,57,0,1,54,3537,0,667,12,609,8,909,275,2,2,0,0,20,79,1,0,6,2,10,1,6,0,0,0,0,826,322,0,6678,0,0,45,540,2176,25,14,6,1,64,9,240,0,0,0,150,244,0,0,5,61,13,0,6,0,0,2,1,10,0,0,0,21,5,0,0,0,1,118,0,0,1079,0,253,10,4,0,0,0,0,0,0,0,13,8,12,12,1,0,0,0,0,0,0,0
11808.6073.SALB.W2V11,895,0,3,605,10300,0,7757,83,2319,124,6481,492,14,3,1,13,186,736,4,0,22,26,138,44,35,1,2,1,2,31299,933,1,39823,5,2,1458,6625,12118,184,385,10,13,595,244,108,0,0,3,788,812,0,2,147,92,106,16,158,0,0,9,19,29,1,0,2,155,22,0,0,0,25,544,1,2,395,0,3059,16,57,7,1,2,11,1,5,0,98,309,133,202,3,0,0,2,1,1,2,5
11808.6095.SALB.W2V11,206,0,1,788,22703,3,1292,10,3444,34,4310,329,12,12,1,5,142,386,2,0,186,22,120,25,44,0,1,0,1,24256,238,0,6721,4,0,722,8379,7706,32,429,6,1,293,100,78,0,0,0,278,640,0,2,106,91,109,15,92,0,0,119,11,27,1,0,1,36,59,0,58,0,23,210,0,6,132,0,802,74,34,5,1,2,2,2,2,0,60,17,4,33,3,0,0,3,0,3,1,3
11808.6141.SALB.W2V11,26,0,0,26,1948,0,390,1,71,1,1784,16,1,1,0,0,20,40,1,0,2,1,14,3,3,0,0,0,0,1513,128,0,1059,0,0,87,218,491,6,61,0,2,55,9,11,0,0,0,16,41,0,0,14,2,38,0,12,0,0,0,1,1,0,0,0,9,4,0,0,0,1,10,0,2,6,0,383,4,1,0,0,0,0,0,0,0,0,4,7,14,0,0,0,0,0,0,0,0
